                         PM                 SQ

工作來往對象            客戶              供應商 (勝)

公司內部能見度           高 (勝)            中

對其他部門的幫助         高 (勝)           極低

在老闆眼中地位           高 (勝)            低

升遷機會                極高 (勝)           低

轉調機會                極高 (勝)           低

花公司錢交際的機會       高 (勝)           極低

出國出差的機會           高 (勝)          看公司，通常是出包去跪

上班時間                 長 (勝)           極長

跳槽機會                 高 (勝)          看個人

公司分紅                 多 (勝)            少

裁員優先順序             低 (勝)            高

應酬時老闆態度           讚 (勝)            咦? (收錢?想要放水?)
