id,category
0,1
1,8
2,8
3,0
4,8
5,1
6,6
7,8
8,6
9,8
10,1
11,1
12,6
13,6
14,6
15,6
16,8
17,8
18,8
19,6
20,0
21,1
22,1
23,0
24,1
25,6
26,8
27,6
28,1
29,0
30,8
31,6
32,8
33,6
34,0
35,8
36,6
37,0
38,8
39,8
40,8
41,6
42,8
43,8
44,6
45,8
46,8
47,6
48,1
49,6
50,0
51,0
52,0
53,6
54,8
55,6
56,8
57,0
58,8
59,8
60,8
61,1
62,0
63,6
64,8
65,0
66,0
67,8
68,8
69,1
70,1
71,0
72,0
73,1
74,6
75,6
76,1
77,0
78,8
79,8
80,6
81,6
82,8
83,8
84,6
85,6
86,6
87,6
88,8
89,6
90,1
91,0
92,0
93,1
94,6
95,6
96,6
97,6
98,6
99,6
100,0
101,0
102,8
103,8
104,8
105,8
106,1
107,8
108,0
109,6
110,8
111,6
112,1
113,8
114,8
115,8
116,6
117,1
118,0
119,0
120,8
121,8
122,1
123,8
124,8
125,8
126,8
127,6
128,6
129,6
130,6
131,8
132,6
133,6
134,8
135,1
136,8
137,6
138,8
139,1
140,8
141,6
142,8
143,1
144,0
145,1
146,6
147,1
148,6
149,1
150,6
151,8
152,1
153,6
154,8
155,6
156,1
157,0
158,6
159,1
160,0
161,8
162,8
163,0
164,6
165,8
166,1
167,0
168,0
169,8
170,8
171,0
172,8
173,8
174,0
175,1
176,1
177,0
178,8
179,8
180,0
181,0
182,6
183,6
184,0
185,6
186,0
187,0
188,1
189,6
190,8
191,0
192,6
193,1
194,6
195,0
196,6
197,6
198,6
199,8
200,6
201,0
202,8
203,6
204,6
205,6
206,1
207,8
208,6
209,6
210,8
211,6
212,0
213,1
214,0
215,6
216,8
217,1
218,1
219,0
220,6
221,8
222,6
223,6
224,8
225,0
226,6
227,8
228,8
229,8
230,8
231,1
232,0
233,8
234,8
235,8
236,6
237,6
238,8
239,0
240,8
241,0
242,8
243,0
244,8
245,8
246,8
247,6
248,8
249,6
250,6
251,6
252,1
253,8
254,0
255,6
256,6
257,6
258,8
259,8
260,8
261,8
262,6
263,0
264,8
265,0
266,6
267,1
268,8
269,1
270,8
271,0
272,8
273,0
274,8
275,6
276,8
277,6
278,8
279,1
280,1
281,8
282,8
283,1
284,8
285,6
286,8
287,8
288,6
289,8
290,0
291,6
292,1
293,0
294,6
295,0
296,8
297,1
298,8
299,8
300,0
301,8
302,0
303,8
304,1
305,1
306,8
307,1
308,1
309,8
310,8
311,8
312,8
313,8
314,8
315,6
316,1
317,6
318,6
319,0
320,6
321,0
322,0
323,6
324,1
325,0
326,6
327,1
328,8
329,8
330,0
331,8
332,8
333,0
334,8
335,6
336,8
337,0
338,8
339,0
340,6
341,1
342,8
343,0
344,6
345,6
346,6
347,8
348,8
349,8
350,8
351,6
352,6
353,8
354,0
355,6
356,6
357,8
358,1
359,8
360,1
361,6
362,0
363,1
364,8
365,8
366,6
367,6
368,6
369,0
370,6
371,8
372,1
373,8
374,6
375,8
376,1
377,8
378,1
379,6
380,6
381,1
382,1
383,8
384,8
385,1
386,1
387,8
388,8
389,1
390,0
391,6
392,8
393,6
394,6
395,8
396,8
397,8
398,8
399,8
400,8
401,8
402,1
403,1
404,8
405,6
406,6
407,6
408,8
409,6
410,1
411,6
412,6
413,6
414,6
415,6
416,8
417,0
418,6
419,1
420,8
421,8
422,8
423,8
424,1
425,6
426,1
427,6
428,1
429,6
430,8
431,1
432,1
433,0
434,8
435,8
436,8
437,8
438,1
439,1
440,0
441,8
442,6
443,6
444,1
445,6
446,6
447,8
448,6
449,8
450,0
451,8
452,6
453,0
454,8
455,6
456,1
457,6
458,8
459,8
460,6
461,6
462,8
463,8
464,0
465,6
466,8
467,0
468,6
469,8
470,8
471,1
472,8
473,8
474,1
475,8
476,8
477,8
478,8
479,8
480,6
481,8
482,6
483,6
484,8
485,6
486,6
487,1
488,6
489,8
490,8
491,8
492,6
493,8
494,8
495,8
496,1
497,8
498,1
499,8
500,0
501,1
502,1
503,6
504,6
505,1
506,6
507,8
508,1
509,8
510,1
511,6
512,6
513,1
514,0
515,6
516,6
517,6
518,8
519,6
520,8
521,8
522,8
523,8
524,1
525,8
526,0
527,8
528,0
529,1
530,8
531,1
532,1
533,6
534,1
535,1
536,8
537,8
538,0
539,8
540,8
541,6
542,6
543,8
544,0
545,8
546,8
547,8
548,6
549,0
550,1
551,0
552,0
553,6
554,1
555,8
556,6
557,8
558,6
559,6
560,1
561,6
562,1
563,0
564,8
565,6
566,6
567,6
568,8
569,8
570,8
571,8
572,0
573,6
574,6
575,6
576,8
577,1
578,8
579,1
580,8
581,1
582,6
583,1
584,1
585,0
586,0
587,8
588,1
589,6
590,6
591,8
592,1
593,6
594,8
595,8
596,8
597,1
598,0
599,6
600,1
601,8
602,8
603,6
604,0
605,8
606,6
607,1
608,8
609,6
610,6
611,0
612,0
613,6
614,0
615,6
616,6
617,8
618,8
619,0
620,0
621,8
622,6
623,8
624,8
625,6
626,8
627,8
628,1
629,6
630,6
631,6
632,8
633,6
634,8
635,6
636,8
637,6
638,0
639,6
640,6
641,0
642,0
643,8
644,8
645,1
646,8
647,1
648,8
649,6
650,1
651,6
652,0
653,8
654,6
655,8
656,8
657,6
658,6
659,6
660,6
661,8
662,6
663,6
664,0
665,8
666,6
667,1
668,1
669,1
670,1
671,6
672,6
673,6
674,6
675,8
676,1
677,0
678,1
679,6
680,8
681,1
682,8
683,6
684,6
685,6
686,8
687,6
688,0
689,6
690,6
691,1
692,0
693,1
694,8
695,8
696,6
697,0
698,0
699,1
700,6
701,8
702,8
703,0
704,0
705,6
706,6
707,8
708,8
709,8
710,8
711,8
712,8
713,6
714,1
715,0
716,0
717,6
718,8
719,6
720,8
721,0
722,1
723,6
724,6
725,1
726,6
727,1
728,8
729,6
730,1
731,1
732,0
733,8
734,8
735,6
736,1
737,1
738,6
739,1
740,8
741,6
742,8
743,6
744,6
745,0
746,8
747,6
748,8
749,8
750,8
751,8
752,8
753,6
754,0
755,6
756,8
757,8
758,8
759,1
760,8
761,0
762,6
763,6
764,6
765,1
766,8
767,8
768,8
769,8
770,6
771,8
772,6
773,8
774,0
775,0
776,8
777,8
778,1
779,6
780,1
781,1
782,6
783,8
784,8
785,8
786,0
787,8
788,6
789,8
790,8
791,0
792,8
793,8
794,8
795,6
796,6
797,8
798,6
799,1
800,1
801,8
802,8
803,0
804,6
805,1
806,8
807,8
808,0
809,8
810,6
811,8
812,6
813,1
814,1
815,8
816,8
817,6
818,8
819,1
820,1
821,1
822,1
823,1
824,8
825,6
826,0
827,1
828,6
829,0
830,8
831,6
832,6
833,8
834,8
835,6
836,0
837,0
838,1
839,8
840,8
841,1
842,0
843,6
844,1
845,6
846,1
847,6
848,8
849,0
850,6
851,8
852,8
853,8
854,8
855,6
856,8
857,6
858,6
859,1
860,1
861,6
862,8
863,8
864,6
865,8
866,0
867,8
868,8
869,6
870,6
871,8
872,1
873,8
874,6
875,8
876,1
877,1
878,6
879,6
880,1
881,6
882,0
883,1
884,6
885,6
886,6
887,6
888,6
889,1
890,8
891,0
892,1
893,6
894,0
895,1
896,1
897,6
898,1
899,8
900,6
901,8
902,6
903,8
904,6
905,8
906,6
907,6
908,1
909,0
910,8
911,6
912,6
913,6
914,8
915,8
916,1
917,8
918,6
919,8
920,8
921,6
922,6
923,0
924,8
925,0
926,8
927,1
928,8
929,6
930,8
931,8
932,8
933,6
934,8
935,0
936,0
937,8
938,1
939,8
940,8
941,6
942,0
943,8
944,0
945,6
946,6
947,0
948,8
949,8
950,8
951,8
952,6
953,8
954,1
955,8
956,1
957,0
958,8
959,1
960,0
961,6
962,6
963,0
964,0
965,1
966,8
967,8
968,8
969,8
970,0
971,6
972,0
973,6
974,8
975,8
976,0
977,1
978,0
979,0
980,8
981,8
982,1
983,0
984,1
985,1
986,8
987,8
988,1
989,8
990,8
991,8
992,8
993,0
994,8
995,0
996,8
997,1
998,8
999,1
