id,category
0,4
1,9
2,2
3,0
4,8
5,8
6,5
7,1
8,2
9,0
10,5
11,5
12,6
13,4
14,1
15,3
16,9
17,3
18,3
19,8
20,5
21,3
22,9
23,2
24,7
25,4
26,8
27,6
28,4
29,4
30,0
31,0
32,4
33,9
34,5
35,7
36,2
37,6
38,9
39,5
40,6
41,1
42,3
43,5
44,6
45,1
46,6
47,0
48,8
49,2
50,0
51,1
52,4
53,3
54,6
55,3
56,5
57,1
58,3
59,0
60,5
61,5
62,9
63,4
64,1
65,4
66,4
67,9
68,0
69,6
70,3
71,9
72,9
73,4
74,8
75,2
76,5
77,5
78,7
79,2
80,6
81,4
82,1
83,7
84,5
85,2
86,2
87,5
88,3
89,0
90,9
91,3
92,5
93,9
94,9
95,7
96,6
97,7
98,9
99,4
100,3
101,9
102,2
103,5
104,7
105,3
106,3
107,4
108,2
109,3
110,1
111,8
112,8
113,1
114,8
115,6
116,9
117,7
118,7
119,1
120,1
121,9
122,5
123,6
124,1
125,8
126,1
127,7
128,5
129,1
130,4
131,2
132,4
133,5
134,8
135,4
136,4
137,2
138,1
139,0
140,5
141,7
142,7
143,3
144,2
145,2
146,2
147,8
148,5
149,0
150,7
151,8
152,9
153,7
154,3
155,9
156,5
157,4
158,7
159,1
160,2
161,3
162,1
163,4
164,2
165,3
166,1
167,3
168,6
169,3
170,7
171,5
172,1
173,8
174,3
175,4
176,2
177,7
178,0
179,6
180,8
181,5
182,1
183,2
184,2
185,7
186,4
187,7
188,0
189,0
190,3
191,7
192,1
193,0
194,2
195,9
196,8
197,3
198,1
199,4
200,7
201,7
202,6
203,8
204,9
205,7
206,5
207,3
208,7
209,9
210,8
211,2
212,3
213,6
214,3
215,9
216,6
217,7
218,2
219,6
220,0
221,6
222,5
223,1
224,9
225,3
226,8
227,4
228,8
229,9
230,9
231,3
232,1
233,7
234,2
235,6
236,9
237,4
238,3
239,8
240,9
241,4
242,6
243,2
244,6
245,5
246,6
247,7
248,4
249,4
250,5
251,3
252,0
253,6
254,7
255,7
256,4
257,5
258,5
259,8
260,3
261,8
262,1
263,1
264,9
265,2
266,6
267,0
268,7
269,3
270,7
271,4
272,6
273,8
274,4
275,1
276,7
277,9
278,9
279,0
280,8
281,4
282,4
283,7
284,3
285,5
286,4
287,9
288,2
289,6
290,6
291,0
292,0
293,3
294,9
295,3
296,6
297,1
298,8
299,1
300,5
301,4
302,0
303,7
304,5
305,4
306,2
307,5
308,7
309,0
310,7
311,8
312,6
313,8
314,6
315,1
316,3
317,2
318,1
319,9
320,4
321,1
322,4
323,5
324,0
325,4
326,5
327,9
328,8
329,3
330,2
331,6
332,7
333,6
334,0
335,0
336,8
337,7
338,5
339,1
340,9
341,7
342,2
343,0
344,7
345,8
346,0
347,0
348,1
349,8
350,5
351,5
352,9
353,0
354,6
355,1
356,5
357,4
358,3
359,7
360,2
361,0
362,7
363,8
364,3
365,1
366,8
367,7
368,9
369,0
370,8
371,2
372,0
373,9
374,6
375,2
376,6
377,1
378,2
379,8
380,8
381,2
382,2
383,6
384,8
385,1
386,1
387,2
388,8
389,0
390,6
391,5
392,2
393,2
394,5
395,5
396,5
397,4
398,4
399,3
400,0
401,8
402,1
403,9
404,3
405,5
406,1
407,3
408,2
409,9
410,7
411,1
412,5
413,2
414,5
415,6
416,0
417,8
418,3
419,5
420,8
421,8
422,4
423,3
424,8
425,6
426,6
427,3
428,4
429,1
430,9
431,9
432,4
433,9
434,4
435,6
436,5
437,2
438,4
439,9
440,2
441,7
442,2
443,0
444,4
445,1
446,4
447,4
448,6
449,9
450,6
451,6
452,1
453,0
454,8
455,3
456,5
457,3
458,0
459,1
460,7
461,6
462,1
463,7
464,5
465,9
466,3
467,2
468,4
469,9
470,8
471,3
472,4
473,4
474,3
475,4
476,7
477,8
478,0
479,5
480,0
481,8
482,3
483,2
484,8
485,9
486,9
487,0
488,4
489,1
490,3
491,3
492,7
493,1
494,5
495,0
496,8
497,8
498,5
499,1
500,0
501,8
502,2
503,8
504,2
505,3
506,5
507,8
508,9
509,1
510,5
511,4
512,4
513,8
514,4
515,4
516,0
517,2
518,6
519,9
520,4
521,6
522,4
523,6
524,3
525,7
526,7
527,9
528,5
529,3
530,0
531,2
532,4
533,5
534,3
535,6
536,1
537,6
538,7
539,1
540,1
541,6
542,0
543,3
544,5
545,7
546,0
547,7
548,3
549,0
550,4
551,9
552,7
553,4
554,8
555,8
556,0
557,1
558,0
559,2
560,3
561,7
562,3
563,8
564,4
565,9
566,2
567,2
568,1
569,2
570,4
571,6
572,5
573,6
574,4
575,1
576,6
577,9
578,8
579,8
580,8
581,4
582,6
583,6
584,8
585,6
586,2
587,1
588,4
589,4
590,9
591,9
592,2
593,7
594,7
595,9
596,8
597,1
598,5
599,4
600,1
601,6
602,5
603,1
604,1
605,7
606,5
607,1
608,4
609,7
610,0
611,4
612,5
613,8
614,5
615,5
616,3
617,3
618,1
619,9
620,5
621,8
622,2
623,7
624,8
625,4
626,7
627,6
628,9
629,3
630,1
631,0
632,8
633,6
634,0
635,5
636,9
637,5
638,5
639,8
640,7
641,4
642,9
643,8
644,7
645,7
646,2
647,6
648,4
649,3
650,7
651,8
652,3
653,1
654,4
655,7
656,4
657,3
658,8
659,0
660,5
661,7
662,0
663,9
664,5
665,9
666,6
667,7
668,3
669,3
670,1
671,9
672,5
673,5
674,2
675,0
676,3
677,3
678,7
679,1
680,8
681,3
682,3
683,8
684,6
685,0
686,7
687,0
688,3
689,4
690,5
691,2
692,5
693,3
694,5
695,8
696,4
697,4
698,3
699,7
700,5
701,1
702,4
703,1
704,2
705,6
706,4
707,1
708,5
709,8
710,8
711,3
712,0
713,9
714,5
715,2
716,1
717,2
718,8
719,5
720,5
721,9
722,8
723,1
724,8
725,2
726,8
727,5
728,9
729,7
730,2
731,5
732,2
733,3
734,6
735,6
736,9
737,5
738,4
739,2
740,3
741,0
742,8
743,9
744,5
745,4
746,5
747,8
748,5
749,6
750,5
751,6
752,6
753,3
754,2
755,3
756,2
757,0
758,8
759,2
760,0
761,2
762,7
763,2
764,2
765,8
766,4
767,1
768,4
769,7
770,1
771,0
772,5
773,6
774,7
775,5
776,9
777,5
778,9
779,7
780,0
781,9
782,2
783,9
784,1
785,6
786,8
787,8
788,6
789,1
790,0
791,6
792,5
793,4
794,3
795,5
796,4
797,6
798,3
799,3
800,3
801,2
802,1
803,3
804,5
805,0
806,6
807,4
808,6
809,1
810,0
811,7
812,9
813,1
814,3
815,8
816,9
817,5
818,7
819,9
820,2
821,2
822,4
823,6
824,3
825,1
826,3
827,9
828,3
829,1
830,2
831,1
832,7
833,3
834,0
835,1
836,3
837,2
838,2
839,5
840,3
841,2
842,5
843,9
844,0
845,7
846,8
847,4
848,5
849,6
850,4
851,4
852,0
853,6
854,6
855,6
856,8
857,9
858,4
859,0
860,2
861,8
862,0
863,8
864,5
865,8
866,3
867,9
868,3
869,2
870,0
871,6
872,9
873,3
874,1
875,6
876,1
877,7
878,2
879,0
880,0
881,0
882,3
883,2
884,6
885,5
886,4
887,8
888,6
889,6
890,7
891,3
892,0
893,9
894,1
895,8
896,0
897,1
898,9
899,9
900,5
901,5
902,0
903,9
904,4
905,4
906,2
907,5
908,6
909,3
910,0
911,9
912,5
913,8
914,7
915,6
916,8
917,8
918,8
919,4
920,6
921,4
922,9
923,4
924,1
925,9
926,6
927,8
928,3
929,9
930,9
931,8
932,4
933,5
934,1
935,8
936,1
937,7
938,3
939,4
940,9
941,0
942,1
943,8
944,2
945,6
946,8
947,3
948,7
949,7
950,6
951,7
952,0
953,9
954,3
955,1
956,4
957,1
958,5
959,5
960,4
961,9
962,1
963,0
964,6
965,2
966,6
967,2
968,5
969,8
970,7
971,6
972,1
973,1
974,3
975,2
976,4
977,5
978,1
979,3
980,7
981,1
982,4
983,5
984,9
985,3
986,8
987,8
988,1
989,9
990,6
991,2
992,7
993,1
994,5
995,0
996,9
997,5
998,7
999,5
