id,category
0,5
1,9
2,4
3,0
4,8
5,1
6,1
7,1
8,8
9,0
10,5
11,1
12,6
13,8
14,8
15,7
16,9
17,3
18,7
19,9
20,3
21,3
22,9
23,6
24,7
25,2
26,8
27,6
28,8
29,2
30,0
31,0
32,4
33,1
34,5
35,2
36,2
37,6
38,6
39,7
40,6
41,9
42,1
43,5
44,8
45,1
46,6
47,5
48,9
49,2
50,0
51,4
52,2
53,3
54,4
55,3
56,6
57,9
58,3
59,0
60,5
61,5
62,0
63,4
64,1
65,5
66,8
67,9
68,0
69,2
70,4
71,5
72,0
73,4
74,8
75,3
76,2
77,4
78,1
79,2
80,6
81,7
82,1
83,7
84,4
85,2
86,6
87,5
88,1
89,0
90,0
91,3
92,5
93,9
94,9
95,7
96,6
97,2
98,4
99,4
100,3
101,8
102,9
103,1
104,7
105,3
106,3
107,6
108,2
109,3
110,1
111,8
112,3
113,6
114,8
115,2
116,9
117,5
118,7
119,5
120,7
121,9
122,5
123,6
124,9
125,3
126,1
127,7
128,5
129,1
130,7
131,2
132,2
133,6
134,8
135,7
136,4
137,4
138,1
139,0
140,5
141,7
142,4
143,3
144,2
145,2
146,2
147,8
148,0
149,0
150,7
151,8
152,9
153,5
154,4
155,4
156,2
157,4
158,2
159,9
160,2
161,6
162,8
163,4
164,2
165,3
166,9
167,4
168,6
169,3
170,5
171,4
172,1
173,8
174,3
175,4
176,2
177,4
178,9
179,4
180,9
181,5
182,8
183,2
184,2
185,7
186,4
187,7
188,0
189,0
190,3
191,7
192,1
193,0
194,4
195,9
196,8
197,7
198,1
199,1
200,7
201,8
202,4
203,6
204,4
205,7
206,6
207,3
208,3
209,9
210,8
211,5
212,2
213,5
214,3
215,1
216,2
217,7
218,4
219,6
220,2
221,6
222,0
223,1
224,9
225,3
226,1
227,4
228,6
229,9
230,4
231,3
232,1
233,1
234,4
235,6
236,9
237,8
238,3
239,8
240,9
241,5
242,2
243,2
244,6
245,2
246,6
247,7
248,8
249,4
250,5
251,3
252,0
253,6
254,5
255,3
256,4
257,5
258,4
259,8
260,4
261,8
262,1
263,9
264,4
265,2
266,6
267,0
268,7
269,1
270,7
271,8
272,6
273,8
274,2
275,1
276,7
277,9
278,9
279,0
280,1
281,3
282,1
283,7
284,3
285,5
286,5
287,4
288,5
289,6
290,4
291,0
292,0
293,4
294,1
295,1
296,2
297,1
298,5
299,9
300,5
301,7
302,0
303,5
304,1
305,4
306,3
307,4
308,7
309,4
310,4
311,8
312,6
313,9
314,5
315,1
316,3
317,2
318,1
319,9
320,3
321,9
322,5
323,0
324,0
325,4
326,0
327,9
328,9
329,3
330,5
331,6
332,7
333,2
334,0
335,0
336,4
337,7
338,8
339,1
340,1
341,7
342,2
343,5
344,7
345,8
346,0
347,0
348,1
349,8
350,0
351,5
352,9
353,0
354,5
355,0
356,5
357,3
358,3
359,7
360,2
361,0
362,8
363,9
364,3
365,8
366,8
367,7
368,9
369,0
370,8
371,2
372,0
373,1
374,6
375,2
376,6
377,1
378,6
379,8
380,8
381,6
382,2
383,6
384,8
385,9
386,5
387,6
388,8
389,0
390,6
391,5
392,5
393,2
394,5
395,5
396,1
397,2
398,1
399,3
400,0
401,8
402,1
403,9
404,5
405,5
406,4
407,4
408,8
409,3
410,7
411,8
412,6
413,4
414,8
415,6
416,0
417,8
418,3
419,0
420,8
421,1
422,6
423,5
424,8
425,9
426,2
427,7
428,9
429,9
430,4
431,9
432,4
433,5
434,4
435,6
436,1
437,6
438,5
439,1
440,2
441,2
442,2
443,0
444,5
445,1
446,8
447,4
448,6
449,9
450,6
451,2
452,2
453,0
454,8
455,6
456,1
457,7
458,5
459,0
460,7
461,6
462,1
463,4
464,5
465,5
466,7
467,2
468,8
469,1
470,9
471,3
472,0
473,6
474,3
475,6
476,7
477,8
478,6
479,5
480,0
481,8
482,5
483,7
484,8
485,1
486,9
487,4
488,1
489,1
490,3
491,8
492,7
493,1
494,2
495,6
496,8
497,4
498,5
499,8
500,0
501,8
502,2
503,8
504,2
505,7
506,5
507,8
508,1
509,9
510,4
511,4
512,1
513,5
514,0
515,5
516,0
517,5
518,2
519,9
520,9
521,6
522,4
523,7
524,3
525,3
526,7
527,9
528,5
529,4
530,4
531,1
532,2
533,0
534,4
535,6
536,1
537,6
538,7
539,1
540,1
541,6
542,6
543,7
544,4
545,7
546,0
547,7
548,7
549,0
550,1
551,2
552,7
553,4
554,8
555,8
556,0
