id,category
0,8
1,9
2,4
3,0
4,9
5,8
6,3
7,1
8,5
9,0
10,0
11,9
12,6
13,8
14,9
15,8
16,9
17,3
18,3
19,9
20,7
21,3
22,9
23,2
24,3
25,2
26,8
27,6
28,8
29,6
30,0
31,0
32,4
33,9
34,5
35,2
36,2
37,6
38,8
39,4
40,6
41,9
42,9
43,5
44,8
45,8
46,6
47,0
48,3
49,2
50,5
51,9
52,2
53,3
54,2
55,3
56,0
57,1
58,7
59,0
60,5
61,5
62,0
63,4
64,1
65,5
66,9
67,9
68,0
69,8
70,3
71,4
72,0
73,4
74,8
75,7
76,6
77,5
78,3
79,2
80,6
81,4
82,1
83,4
84,3
85,6
86,2
87,5
88,8
89,0
90,8
91,3
92,5
93,9
94,9
95,3
96,6
97,2
98,5
99,8
100,7
101,1
102,2
103,8
104,7
105,3
106,3
107,6
108,2
109,3
110,1
111,9
112,3
113,5
114,9
115,2
116,9
117,5
118,7
119,5
120,5
121,9
122,5
123,6
124,9
125,4
126,1
127,7
128,5
129,1
130,7
131,2
132,6
133,7
134,8
135,8
136,4
137,4
138,1
139,0
140,5
141,8
142,3
143,7
144,2
145,2
146,2
147,3
148,5
149,0
150,7
151,7
152,9
153,5
154,7
155,4
156,8
157,4
158,2
159,9
160,2
161,6
162,8
163,8
164,2
165,3
166,8
167,4
168,6
169,7
170,4
171,2
172,1
173,8
174,3
175,8
176,2
177,3
178,9
179,4
180,9
181,6
182,8
183,2
184,2
185,7
186,4
187,7
188,0
189,0
190,3
191,7
192,1
193,0
194,4
195,3
196,8
197,7
198,1
199,5
200,7
201,7
202,7
203,5
204,1
205,7
206,6
207,3
208,3
209,9
210,8
211,0
212,4
213,4
214,3
215,1
216,6
217,7
218,2
219,6
220,0
221,6
222,5
223,1
224,9
225,3
226,8
227,6
228,8
229,3
230,4
231,3
232,4
233,3
234,6
235,6
236,9
237,4
238,3
239,8
240,9
241,4
242,2
243,2
244,5
245,2
246,6
247,7
248,8
249,3
250,8
251,3
252,0
253,6
254,4
255,7
256,4
257,2
258,4
259,8
260,4
261,8
262,4
263,1
264,9
265,2
266,6
267,0
268,7
269,8
270,7
271,4
272,6
273,8
274,4
275,1
276,5
277,9
278,9
279,0
280,8
281,1
282,8
283,7
284,3
285,5
286,5
287,1
288,2
289,6
290,4
291,0
292,0
293,3
294,4
295,3
296,2
297,1
298,5
299,9
300,5
301,7
302,0
303,3
304,5
305,4
306,5
307,5
308,7
309,0
310,6
311,8
312,6
313,9
314,5
315,1
316,3
317,2
318,1
319,9
320,4
321,9
322,5
323,9
324,0
325,4
326,0
327,9
328,8
329,3
330,5
331,6
332,7
333,2
334,0
335,0
336,4
337,7
338,8
339,1
340,9
341,4
342,2
343,5
344,7
345,8
346,0
347,0
348,1
349,8
350,0
351,0
352,9
353,0
354,6
355,1
356,5
357,7
358,3
359,7
360,2
361,0
362,7
363,3
364,7
365,9
366,8
367,7
368,9
369,0
370,8
371,2
372,0
373,9
374,6
375,2
376,6
377,1
378,6
379,4
380,8
381,2
382,2
383,6
384,8
385,9
386,1
387,6
388,4
389,0
390,6
391,4
392,5
393,2
394,5
395,5
396,5
397,2
398,7
399,3
400,0
401,8
402,1
403,9
404,3
405,4
406,8
407,4
408,6
409,9
410,7
411,6
412,6
413,2
414,7
415,6
416,0
417,8
418,3
419,0
420,8
421,8
422,5
423,5
424,8
425,2
426,2
427,7
428,4
429,9
430,1
431,9
432,7
433,5
434,8
435,6
436,5
437,2
438,7
439,1
440,2
441,2
442,2
443,0
444,5
445,1
446,8
447,8
448,6
449,9
450,6
451,2
452,4
453,0
454,8
455,1
456,2
457,3
458,4
459,4
460,7
461,6
462,1
463,3
464,0
465,0
466,7
467,2
468,3
469,8
470,9
471,3
472,0
473,8
474,3
475,6
476,7
477,6
478,0
479,8
480,0
481,8
482,8
483,7
484,1
485,9
486,9
487,5
488,8
489,1
490,3
491,8
492,7
493,1
494,2
495,6
496,8
497,8
498,5
499,1
500,0
501,9
502,2
503,8
504,2
505,7
506,4
507,8
508,9
509,9
510,4
511,7
512,0
513,8
514,6
515,4
516,0
517,5
518,6
519,9
520,9
521,5
522,4
523,8
524,3
525,3
526,7
527,8
528,5
529,7
530,4
531,5
532,4
533,5
534,7
535,6
536,1
537,6
538,7
539,1
540,1
541,6
542,0
543,8
544,5
545,7
546,0
547,3
548,7
549,0
550,9
551,4
552,7
553,4
554,7
555,8
556,0
557,0
558,9
559,2
560,4
561,8
562,7
563,8
564,6
565,8
566,2
567,2
568,8
569,4
570,2
571,3
572,4
573,5
574,8
575,5
576,2
577,9
578,8
579,7
580,8
581,4
582,6
583,2
