id,category
0,7
1,9
2,4
3,0
4,1
5,1
6,7
7,1
8,7
9,0
10,0
11,9
12,6
13,4
14,9
15,3
16,9
17,3
18,3
19,1
20,7
21,3
22,9
23,2
24,7
25,2
26,4
27,2
28,8
29,6
30,0
31,0
32,4
33,9
34,5
35,2
36,2
37,6
38,3
39,4
40,6
41,9
42,9
43,5
44,1
45,8
46,6
47,0
48,9
49,2
50,5
51,1
52,2
53,3
54,2
55,8
56,0
57,1
58,3
59,0
60,5
61,5
62,0
63,4
64,1
65,5
66,9
67,9
68,0
69,4
70,3
71,5
72,5
73,4
74,8
75,7
76,5
77,4
78,7
79,2
80,6
81,8
82,1
83,4
84,4
85,6
86,2
87,5
88,4
89,0
90,8
91,3
92,5
93,9
94,9
95,7
96,6
97,2
98,5
99,8
100,3
101,1
102,2
103,4
104,3
105,3
106,3
107,6
108,5
109,3
110,1
111,1
112,9
113,4
114,1
115,6
116,9
117,4
118,7
119,5
120,4
121,9
122,5
123,6
124,9
125,4
126,1
127,7
128,5
129,1
130,7
131,2
132,2
133,7
134,8
135,9
136,4
137,2
138,1
139,0
140,5
141,8
142,3
143,3
144,2
145,2
146,2
147,3
148,5
149,0
150,7
151,7
152,9
153,6
154,7
155,4
156,4
157,8
158,2
159,9
160,2
161,6
162,8
163,8
164,2
165,3
166,8
167,4
168,6
169,7
170,9
171,5
172,1
173,8
174,7
175,4
176,2
177,4
178,9
179,4
180,4
181,0
182,8
183,2
184,2
185,7
186,5
187,7
188,0
189,0
190,3
191,3
192,1
193,4
194,4
195,9
196,8
197,7
198,1
199,5
200,7
201,7
202,7
203,4
204,1
205,7
206,6
207,3
208,3
209,9
210,8
211,0
212,4
213,3
214,3
215,1
216,6
217,7
218,2
219,6
220,0
221,6
222,5
223,1
224,9
225,3
226,8
227,2
228,7
229,9
230,4
231,3
232,4
233,3
234,5
235,6
236,9
237,5
238,3
239,4
240,9
241,6
242,6
243,2
244,5
245,2
246,6
247,7
248,5
249,7
250,8
251,7
252,0
253,6
254,8
255,7
256,5
257,2
258,4
259,1
260,4
261,8
262,9
263,9
264,9
265,2
266,6
267,0
268,7
269,4
270,7
271,4
272,6
273,8
274,8
275,1
276,2
277,9
278,9
279,0
280,1
281,3
282,4
283,7
284,3
285,5
286,5
287,1
288,2
289,6
290,4
291,0
292,0
293,3
294,7
295,3
296,2
297,1
298,5
299,9
300,5
301,7
302,0
303,3
304,5
305,5
306,4
307,5
308,7
309,0
310,6
311,8
312,6
313,9
314,5
315,1
316,3
317,2
318,1
319,9
320,4
321,1
322,5
323,8
324,6
325,9
326,5
327,9
328,9
329,7
330,2
331,0
332,7
333,2
334,0
335,0
336,4
337,7
338,8
339,1
340,1
341,7
342,2
343,5
344,7
345,8
346,0
347,0
348,1
349,8
350,0
351,0
352,9
353,0
354,6
355,1
356,5
357,3
358,3
359,7
360,2
361,0
362,7
363,7
364,7
365,8
366,1
367,7
368,9
369,0
370,8
371,2
372,0
373,1
374,6
375,6
376,6
377,1
378,2
379,4
380,8
381,2
382,2
383,6
384,8
385,1
386,9
387,6
388,2
389,0
390,6
391,4
392,5
393,2
394,5
395,5
396,5
397,2
398,3
399,3
400,0
401,8
402,1
403,7
404,3
405,5
406,8
407,4
408,6
409,9
410,7
411,5
412,6
413,2
414,7
415,6
416,0
417,8
418,3
419,0
420,8
421,8
422,0
423,5
424,8
425,6
426,2
427,7
428,8
429,9
430,4
431,9
432,8
433,5
434,8
435,6
436,5
437,2
438,7
439,1
440,2
441,2
442,2
443,0
444,5
445,1
446,5
447,4
448,6
449,9
450,6
451,2
452,7
453,0
454,8
455,1
456,2
457,3
458,5
459,1
460,3
461,6
462,1
463,3
464,0
465,0
466,7
467,2
468,7
469,8
470,1
471,3
472,2
473,8
474,3
475,5
476,7
477,5
478,0
479,4
480,0
481,9
482,5
483,7
484,8
485,9
486,9
487,5
488,7
489,1
490,3
491,4
492,7
493,1
494,2
495,6
496,8
497,9
498,5
499,1
500,0
501,9
502,2
503,8
504,2
505,7
506,5
507,1
508,9
509,9
510,4
511,7
512,4
513,8
514,6
515,5
516,0
517,5
518,6
519,8
520,9
521,2
522,4
523,8
524,7
525,7
526,7
