id,good,bad
0,9,9
1,35,35
2,0,0
3,1,1
4,10,10
5,9,9
6,8,8
7,4,4
8,2,2
9,3,3
10,0,0
11,0,0
12,20,20
13,0,0
14,18,18
15,14,14
16,8,8
17,8,8
18,22,22
19,7,7
20,1,1
21,0,0
22,4,4
23,9,9
24,5,5
25,8,8
26,9,9
27,22,22
28,3,3
29,8,8
30,6,6
31,0,0
32,7,7
33,12,12
34,7,7
35,20,20
36,10,10
37,6,6
38,3,3
39,6,6
40,4,4
41,6,6
42,3,3
43,8,8
44,11,11
45,0,0
46,4,4
47,3,3
48,12,12
49,9,9
50,12,12
51,2,2
52,0,0
53,2,2
54,4,4
55,6,6
56,6,6
57,8,8
58,4,4
59,0,0
60,0,0
61,12,12
62,0,0
63,11,11
64,21,21
65,2,2
66,7,7
67,12,12
68,5,5
69,4,4
70,10,10
71,0,0
72,11,11
73,0,0
74,0,0
75,7,7
76,19,19
77,0,0
78,5,5
79,0,0
80,17,17
81,2,2
82,9,9
83,1,1
84,1,1
85,3,3
86,2,2
87,5,5
88,4,4
89,12,12
90,8,8
91,5,5
92,8,8
93,7,7
94,20,20
95,0,0
96,2,2
97,6,6
98,19,19
99,0,0
100,4,4
101,3,3
102,0,0
103,3,3
104,14,14
105,4,4
106,7,7
107,0,0
108,20,20
109,3,3
110,10,10
111,7,7
112,3,3
113,0,0
114,5,5
115,14,14
116,6,6
117,4,4
118,22,22
119,6,6
120,10,10
121,11,11
122,0,0
123,10,10
124,0,0
125,10,10
126,5,5
127,31,31
128,9,9
129,0,0
130,0,0
131,0,0
132,0,0
133,5,5
134,0,0
135,6,6
136,5,5
137,12,12
138,3,3
139,10,10
140,3,3
141,0,0
142,4,4
143,5,5
144,15,15
145,4,4
146,0,0
147,0,0
148,0,0
149,5,5
150,0,0
151,10,10
152,1,1
153,7,7
154,21,21
155,19,19
156,25,25
157,14,14
158,1,1
159,0,0
160,24,24
161,0,0
162,4,4
163,18,18
164,6,6
165,3,3
166,4,4
167,0,0
168,7,7
169,8,8
170,3,3
171,6,6
172,0,0
173,10,10
174,4,4
175,10,10
176,10,10
177,14,14
178,0,0
179,22,22
180,0,0
181,12,12
182,4,4
183,5,5
184,13,13
185,9,9
186,0,0
187,29,29
188,0,0
189,6,6
190,21,21
191,0,0
192,13,13
193,8,8
194,3,3
195,7,7
196,26,26
197,2,2
198,0,0
199,0,0
200,16,16
201,0,0
202,20,20
203,2,2
204,0,0
205,0,0
206,0,0
207,1,1
208,19,19
209,1,1
210,8,8
211,9,9
212,11,11
213,18,18
214,14,14
215,2,2
216,7,7
217,7,7
218,0,0
219,2,2
220,8,8
221,4,4
222,9,9
223,20,20
224,8,8
225,8,8
226,1,1
227,3,3
228,14,14
229,1,1
230,14,14
231,4,4
232,6,6
233,5,5
234,12,12
235,0,0
236,14,14
237,10,10
238,11,11
239,20,20
240,30,30
241,30,30
242,6,6
243,10,10
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,7,7
250,31,31
251,0,0
252,22,22
253,11,11
254,5,5
255,1,1
256,4,4
257,0,0
258,0,0
259,17,17
260,37,37
261,0,0
262,0,0
263,3,3
264,3,3
265,5,5
266,2,2
267,0,0
268,0,0
269,3,3
270,6,6
271,1,1
272,9,9
273,2,2
274,24,24
275,3,3
276,11,11
277,0,0
278,5,5
279,3,3
280,13,13
281,26,26
282,2,2
283,14,14
284,19,19
285,6,6
286,4,4
287,0,0
288,9,9
289,19,19
290,9,9
291,4,4
292,5,5
293,32,32
294,0,0
295,11,11
296,0,0
297,16,16
298,4,4
299,0,0
300,14,14
301,16,16
302,6,6
303,6,6
304,20,20
305,2,2
306,8,8
307,12,12
308,3,3
309,9,9
310,2,2
311,18,18
312,10,10
313,2,2
314,3,3
315,26,26
316,3,3
317,9,9
318,0,0
319,4,4
320,15,15
321,0,0
322,6,6
323,11,11
324,0,0
325,1,1
326,4,4
327,17,17
328,5,5
329,0,0
330,5,5
331,13,13
332,13,13
333,3,3
334,0,0
335,0,0
336,2,2
337,2,2
338,6,6
339,0,0
340,0,0
341,5,5
342,0,0
343,12,12
344,9,9
345,5,5
346,15,15
347,18,18
348,13,13
349,3,3
350,0,0
351,2,2
352,1,1
353,4,4
354,8,8
355,0,0
356,80,80
357,0,0
358,15,15
359,6,6
360,5,5
361,0,0
362,19,19
363,5,5
364,0,0
365,4,4
366,17,17
367,11,11
368,3,3
369,2,2
370,3,3
371,8,8
372,0,0
373,16,16
374,4,4
375,28,28
376,4,4
377,5,5
378,17,17
379,0,0
380,5,5
381,0,0
382,5,5
383,6,6
384,6,6
385,30,30
386,0,0
387,0,0
388,7,7
389,3,3
390,0,0
391,0,0
392,0,0
393,6,6
394,11,11
395,23,23
396,6,6
397,6,6
398,7,7
399,21,21
400,0,0
401,14,14
402,40,40
403,0,0
404,17,17
405,74,74
406,14,14
407,11,11
408,0,0
409,1,1
410,0,0
411,0,0
412,18,18
413,8,8
414,3,3
415,5,5
416,0,0
417,9,9
418,0,0
419,16,16
420,0,0
421,12,12
422,17,17
423,0,0
424,9,9
425,18,18
426,10,10
427,0,0
428,0,0
429,0,0
430,32,32
431,0,0
432,0,0
433,0,0
434,4,4
435,0,0
436,0,0
437,1,1
438,0,0
439,31,31
440,0,0
441,0,0
442,0,0
443,24,24
444,0,0
445,0,0
446,26,26
447,12,12
448,14,14
449,0,0
450,30,30
451,0,0
452,0,0
453,7,7
454,22,22
455,0,0
456,0,0
457,31,31
458,2,2
459,0,0
460,0,0
461,8,8
462,0,0
463,4,4
464,8,8
465,31,31
466,10,10
467,0,0
468,21,21
469,0,0
470,12,12
471,20,20
472,1,1
473,30,30
474,12,12
475,0,0
476,6,6
477,0,0
478,5,5
479,3,3
480,0,0
481,30,30
482,0,0
483,24,24
484,2,2
485,35,35
486,0,0
487,43,43
488,0,0
489,0,0
490,2,2
491,39,39
492,0,0
493,1,1
494,7,7
495,38,38
496,0,0
497,0,0
498,5,5
499,0,0
500,17,17
501,0,0
502,7,7
503,17,17
504,0,0
505,48,48
506,18,18
507,6,6
508,17,17
509,9,9
510,3,3
511,0,0
512,0,0
513,21,21
514,18,18
515,0,0
516,7,7
517,0,0
518,1,1
519,15,15
520,7,7
521,22,22
522,0,0
523,0,0
524,0,0
525,16,16
526,0,0
527,17,17
528,0,0
529,0,0
530,4,4
531,8,8
532,2,2
533,8,8
534,16,16
535,0,0
536,9,9
537,7,7
538,0,0
539,16,16
540,0,0
541,8,8
542,20,20
543,11,11
544,42,42
545,17,17
546,33,33
547,10,10
548,11,11
549,15,15
550,22,22
551,0,0
552,0,0
553,0,0
554,23,23
555,0,0
556,0,0
557,2,2
558,0,0
559,17,17
560,7,7
561,14,14
562,36,36
563,0,0
564,16,16
565,0,0
566,4,4
567,16,16
568,2,2
569,19,19
570,19,19
571,19,19
572,0,0
573,3,3
574,0,0
575,24,24
576,0,0
577,12,12
578,0,0
579,0,0
580,12,12
581,0,0
582,0,0
583,0,0
584,0,0
585,25,25
586,16,16
587,14,14
588,4,4
589,50,50
590,4,4
591,0,0
592,18,18
593,3,3
594,3,3
595,0,0
596,0,0
597,1,1
598,8,8
599,0,0
600,31,31
601,0,0
602,0,0
603,22,22
604,12,12
605,0,0
606,0,0
607,6,6
608,15,15
609,19,19
610,0,0
611,12,12
612,25,25
613,0,0
614,0,0
615,0,0
616,9,9
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,25,25
623,0,0
624,11,11
625,5,5
626,15,15
627,16,16
628,0,0
629,0,0
630,37,37
631,24,24
632,14,14
633,0,0
634,12,12
635,25,25
636,5,5
637,36,36
638,15,15
639,13,13
640,16,16
641,47,47
642,0,0
643,19,19
644,28,28
645,0,0
646,29,29
647,0,0
648,12,12
649,0,0
650,0,0
651,12,12
652,9,9
653,9,9
654,28,28
655,14,14
656,0,0
657,3,3
658,1,1
659,22,22
660,9,9
661,0,0
662,11,11
663,0,0
664,3,3
665,18,18
666,18,18
667,4,4
668,4,4
669,21,21
670,10,10
671,48,48
672,12,12
673,7,7
674,20,20
675,25,25
676,5,5
677,31,31
678,18,18
679,6,6
680,0,0
681,0,0
682,10,10
683,28,28
684,0,0
685,19,19
686,11,11
687,14,14
688,12,12
689,31,31
690,3,3
691,19,19
692,0,0
693,29,29
694,0,0
695,0,0
696,9,9
697,0,0
698,0,0
699,11,11
700,21,21
701,12,12
702,1,1
703,20,20
704,9,9
705,19,19
706,27,27
707,19,19
708,0,0
709,9,9
710,0,0
711,14,14
712,0,0
713,0,0
714,4,4
715,2,2
716,50,50
717,0,0
718,10,10
719,0,0
720,20,20
721,0,0
722,0,0
723,4,4
724,0,0
725,0,0
726,2,2
727,7,7
728,0,0
729,6,6
730,11,11
731,7,7
732,6,6
733,7,7
734,7,7
735,0,0
736,0,0
737,9,9
738,19,19
739,11,11
740,32,32
741,20,20
742,13,13
743,46,46
744,11,11
745,23,23
746,15,15
747,22,22
748,6,6
749,0,0
750,11,11
751,0,0
752,0,0
753,2,2
754,0,0
755,14,14
756,0,0
757,36,36
758,0,0
759,0,0
760,0,0
761,8,8
762,39,39
763,19,19
764,7,7
765,0,0
766,37,37
767,0,0
768,0,0
769,0,0
770,0,0
771,32,32
772,0,0
773,30,30
774,20,20
775,1,1
776,10,10
777,0,0
778,0,0
779,0,0
780,14,14
781,4,4
782,20,20
783,0,0
784,18,18
785,11,11
786,4,4
787,14,14
788,0,0
789,26,26
790,3,3
791,23,23
792,0,0
793,0,0
794,0,0
795,1,1
796,0,0
797,12,12
798,0,0
799,21,21
800,15,15
801,14,14
802,12,12
803,6,6
804,5,5
805,0,0
806,0,0
