id,good,bad
0,0,0
1,88,88
2,0,0
3,0,0
4,12,12
5,6,6
6,26,26
7,3,3
8,4,4
9,0,0
10,0,0
11,0,0
12,56,56
13,0,0
14,36,36
15,15,15
16,0,0
17,5,5
18,35,35
19,12,12
20,0,0
21,2,2
22,27,27
23,0,0
24,2,2
25,6,6
26,7,7
27,39,39
28,4,4
29,0,0
30,5,5
31,0,0
32,2,2
33,5,5
34,0,0
35,41,41
36,0,0
37,13,13
38,0,0
39,14,14
40,3,3
41,4,4
42,0,0
43,8,8
44,27,27
45,3,3
46,0,0
47,0,0
48,8,8
49,18,18
50,17,17
51,9,9
52,0,0
53,0,0
54,4,4
55,0,0
56,22,22
57,9,9
58,6,6
59,0,0
60,0,0
61,21,21
62,0,0
63,11,11
64,20,20
65,0,0
66,0,0
67,18,18
68,4,4
69,0,0
70,13,13
71,9,9
72,13,13
73,44,44
74,0,0
75,33,33
76,39,39
77,0,0
78,11,11
79,6,6
80,29,29
81,0,0
82,9,9
83,5,5
84,0,0
85,0,0
86,5,5
87,12,12
88,41,41
89,14,14
90,12,12
91,0,0
92,61,61
93,0,0
94,16,16
95,0,0
96,0,0
97,9,9
98,6,6
99,0,0
100,0,0
101,0,0
102,14,14
103,0,0
104,4,4
105,11,11
106,11,11
107,0,0
108,27,27
109,6,6
110,8,8
111,9,9
112,0,0
113,0,0
114,0,0
115,9,9
116,3,3
117,0,0
118,99,99
119,8,8
120,19,19
121,0,0
122,0,0
123,8,8
124,0,0
125,6,6
126,12,12
127,0,0
128,15,15
129,0,0
130,0,0
131,0,0
132,0,0
133,4,4
134,0,0
135,0,0
136,5,5
137,13,13
138,0,0
139,12,12
140,12,12
141,0,0
142,1,1
143,1,1
144,19,19
145,0,0
146,0,0
147,0,0
148,0,0
149,8,8
150,0,0
151,22,22
152,0,0
153,10,10
154,56,56
155,26,26
156,45,45
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,3,3
163,31,31
164,58,58
165,6,6
166,0,0
167,0,0
168,0,0
169,0,0
170,3,3
171,6,6
172,0,0
173,14,14
174,1,1
175,0,0
176,1,1
177,24,24
178,0,0
179,22,22
180,0,0
181,0,0
182,0,0
183,0,0
184,20,20
185,21,21
186,0,0
187,25,25
188,0,0
189,8,8
190,56,56
191,0,0
192,16,16
193,6,6
194,2,2
195,16,16
196,46,46
197,0,0
198,0,0
199,0,0
200,1,1
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,38,38
209,0,0
210,9,9
211,0,0
212,12,12
213,50,50
214,25,25
215,33,33
216,6,6
217,5,5
218,0,0
219,0,0
220,13,13
221,1,1
222,7,7
223,36,36
224,5,5
225,8,8
226,0,0
227,46,46
228,13,13
229,0,0
230,29,29
231,0,0
232,0,0
233,0,0
234,46,46
235,0,0
236,24,24
237,5,5
238,21,21
239,31,31
240,89,89
241,53,53
242,8,8
243,12,12
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,13,13
250,2,2
251,0,0
252,65,65
253,19,19
254,0,0
255,9,9
256,0,0
257,4,4
258,0,0
259,44,44
260,32,32
261,0,0
262,0,0
263,4,4
264,7,7
265,2,2
266,0,0
267,0,0
268,0,0
269,0,0
270,3,3
271,0,0
272,23,23
273,0,0
274,0,0
275,0,0
276,24,24
277,0,0
278,10,10
279,0,0
280,16,16
281,47,47
282,0,0
283,22,22
284,47,47
285,6,6
286,16,16
287,0,0
288,15,15
289,33,33
290,7,7
291,0,0
292,8,8
293,31,31
294,0,0
295,3,3
296,0,0
297,37,37
298,0,0
299,0,0
300,36,36
301,7,7
302,6,6
303,10,10
304,45,45
305,0,0
306,6,6
307,8,8
308,7,7
309,4,4
310,0,0
311,52,52
312,0,0
313,23,23
314,0,0
315,29,29
316,0,0
317,26,26
318,0,0
319,9,9
320,48,48
321,0,0
322,0,0
323,27,27
324,0,0
325,15,15
326,2,2
327,5,5
328,0,0
329,0,0
330,14,14
331,18,18
332,16,16
333,0,0
334,0,0
335,0,0
336,6,6
337,0,0
338,0,0
339,0,0
340,0,0
341,5,5
342,0,0
343,21,21
344,6,6
345,14,14
346,0,0
347,53,53
348,7,7
349,2,2
350,0,0
351,25,25
352,3,3
353,0,0
354,0,0
355,0,0
356,138,138
357,0,0
358,21,21
359,10,10
360,2,2
361,0,0
362,0,0
363,3,3
364,0,0
365,4,4
366,19,19
367,34,34
368,15,15
369,0,0
370,0,0
371,5,5
372,0,0
373,52,52
374,0,0
375,45,45
376,5,5
377,0,0
378,20,20
379,0,0
380,10,10
381,0,0
382,0,0
383,8,8
384,12,12
385,73,73
386,4,4
387,0,0
388,0,0
389,2,2
390,0,0
391,0,0
392,0,0
393,6,6
394,19,19
395,0,0
396,11,11
397,4,4
398,0,0
399,79,79
400,0,0
401,11,11
402,123,123
403,22,22
404,0,0
405,132,132
406,10,10
407,22,22
408,0,0
409,0,0
410,0,0
411,0,0
412,7,7
413,0,0
414,0,0
415,6,6
416,16,16
417,0,0
418,0,0
419,28,28
420,0,0
421,2,2
422,6,6
423,0,0
424,4,4
425,38,38
426,0,0
427,0,0
428,0,0
429,0,0
430,52,52
431,0,0
432,0,0
433,0,0
434,4,4
435,0,0
436,0,0
437,49,49
438,0,0
439,20,20
440,0,0
441,0,0
442,0,0
443,43,43
444,0,0
445,0,0
446,48,48
447,20,20
448,19,19
449,0,0
450,27,27
451,0,0
452,0,0
453,2,2
454,25,25
455,0,0
456,0,0
457,36,36
458,16,16
459,0,0
460,0,0
461,0,0
462,0,0
463,4,4
464,37,37
465,19,19
466,0,0
467,0,0
468,46,46
469,0,0
470,14,14
471,13,13
472,10,10
473,58,58
474,6,6
475,27,27
476,0,0
477,0,0
478,8,8
479,0,0
480,0,0
481,55,55
482,0,0
483,46,46
484,19,19
485,40,40
486,0,0
487,41,41
488,0,0
489,0,0
490,9,9
491,64,64
492,13,13
493,0,0
494,0,0
495,69,69
496,0,0
497,7,7
498,0,0
499,0,0
500,73,73
501,0,0
502,0,0
503,45,45
504,0,0
505,95,95
506,0,0
507,0,0
508,40,40
509,28,28
510,2,2
511,0,0
512,0,0
513,98,98
514,59,59
515,11,11
516,54,54
517,0,0
518,19,19
519,29,29
520,0,0
521,26,26
522,0,0
523,0,0
524,0,0
525,82,82
526,0,0
527,59,59
528,0,0
529,0,0
530,0,0
531,13,13
532,10,10
533,0,0
534,31,31
535,0,0
536,62,62
537,43,43
538,0,0
539,29,29
540,0,0
541,0,0
542,20,20
543,0,0
544,55,55
545,31,31
546,60,60
547,0,0
548,50,50
549,25,25
550,32,32
551,0,0
552,0,0
553,0,0
554,11,11
555,0,0
556,0,0
557,1,1
558,0,0
559,56,56
560,0,0
561,66,66
562,87,87
563,0,0
564,66,66
565,0,0
566,0,0
567,0,0
568,0,0
569,0,0
570,7,7
571,23,23
572,0,0
573,34,34
574,0,0
575,21,21
576,0,0
577,0,0
578,0,0
579,40,40
580,4,4
581,0,0
582,0,0
583,0,0
584,0,0
585,8,8
586,9,9
587,35,35
588,4,4
589,116,116
590,4,4
591,0,0
592,78,78
593,0,0
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,35,35
601,10,10
602,13,13
603,36,36
604,18,18
605,0,0
606,6,6
607,78,78
608,21,21
609,15,15
610,0,0
611,69,69
612,6,6
613,9,9
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,43,43
623,0,0
624,27,27
625,20,20
626,26,26
627,4,4
628,0,0
629,0,0
630,28,28
631,46,46
632,9,9
633,0,0
634,69,69
635,44,44
636,12,12
637,62,62
638,71,71
639,33,33
640,76,76
641,147,147
642,0,0
643,19,19
644,54,54
645,0,0
646,72,72
647,0,0
648,10,10
649,0,0
650,0,0
651,0,0
652,23,23
653,0,0
654,52,52
655,1,1
656,0,0
657,0,0
658,0,0
659,5,5
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,15,15
666,18,18
667,10,10
668,0,0
669,17,17
670,10,10
671,61,61
672,0,0
673,2,2
674,42,42
675,44,44
676,0,0
677,46,46
678,35,35
679,2,2
680,0,0
681,0,0
682,0,0
683,12,12
684,0,0
685,22,22
686,15,15
687,0,0
688,0,0
689,94,94
690,0,0
691,48,48
692,0,0
693,93,93
694,0,0
695,0,0
696,0,0
697,11,11
698,0,0
699,13,13
700,0,0
701,24,24
702,0,0
703,50,50
704,45,45
705,94,94
706,31,31
707,47,47
708,0,0
709,0,0
710,0,0
711,20,20
712,8,8
713,0,0
714,0,0
715,0,0
716,131,131
717,0,0
718,15,15
719,0,0
720,25,25
721,25,25
722,0,0
723,4,4
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,20,20
731,13,13
732,3,3
733,0,0
734,0,0
735,0,0
736,29,29
737,0,0
738,53,53
739,52,52
740,10,10
741,83,83
742,71,71
743,1,1
744,9,9
745,29,29
746,12,12
747,26,26
748,0,0
749,0,0
750,74,74
751,0,0
752,0,0
753,5,5
754,0,0
755,10,10
756,0,0
757,32,32
758,0,0
759,0,0
760,1,1
761,0,0
762,76,76
763,28,28
764,12,12
765,0,0
766,51,51
767,0,0
768,0,0
769,0,0
770,0,0
771,42,42
772,0,0
773,81,81
774,23,23
775,2,2
776,3,3
777,0,0
778,0,0
779,0,0
780,0,0
781,19,19
