id,good,bad
0,5,0
1,6,0
2,6,0
3,8,0
4,1,0
5,3,0
6,2,0
7,8,0
8,6,0
9,6,0
10,8,0
11,10,0
12,9,0
13,4,0
14,4,0
15,3,0
16,3,0
17,4,0
18,5,0
19,6,0
20,5,0
21,5,0
22,6,0
23,8,0
24,6,0
25,6,0
26,5,0
27,8,0
28,4,0
29,7,0
30,9,0
31,6,0
32,4,0
33,6,0
34,5,0
35,11,0
36,6,0
37,8,0
38,5,0
39,7,0
40,5,0
41,3,0
42,4,0
43,8,0
44,6,0
45,4,0
46,4,0
47,7,0
48,5,0
49,7,0
50,5,0
51,6,0
52,5,0
53,3,0
54,6,0
55,5,0
56,4,0
57,6,0
58,6,0
59,4,0
60,5,0
61,7,0
62,4,0
63,2,0
64,10,0
65,6,0
66,7,0
67,6,0
68,3,0
69,5,0
70,4,0
71,4,0
72,5,0
73,0,0
74,6,0
75,9,0
76,2,0
77,1,0
78,6,0
79,6,0
80,6,0
81,8,0
82,7,0
83,5,0
84,5,0
85,4,0
86,7,0
87,5,0
88,2,0
89,6,0
90,5,0
91,6,0
92,12,0
93,5,0
94,5,0
95,5,0
96,1,0
97,5,0
98,4,0
99,0,0
100,5,0
101,6,0
102,5,0
103,6,0
104,5,0
105,6,0
106,6,0
107,9,0
108,5,0
109,9,0
110,7,0
111,5,0
112,6,0
113,5,0
114,1,0
115,7,0
116,2,0
117,1,0
118,6,0
119,4,0
120,7,0
121,8,0
122,4,0
123,9,0
124,5,0
125,5,0
126,5,0
127,7,0
128,5,0
129,5,0
130,6,0
131,4,0
132,11,0
133,8,0
134,4,0
135,3,0
136,4,0
137,7,0
138,9,0
139,5,0
140,4,0
141,4,0
142,3,0
143,5,0
144,6,0
145,5,0
146,4,0
147,4,0
148,3,0
149,5,0
150,5,0
151,7,0
152,5,0
153,8,0
154,8,0
155,6,0
156,3,0
157,3,0
158,7,0
159,6,0
160,4,0
161,6,0
162,4,0
163,5,0
164,4,0
165,4,0
166,5,0
167,11,0
168,3,0
169,6,0
170,4,0
171,5,0
172,5,0
173,6,0
174,3,0
175,7,0
176,7,0
177,6,0
178,6,0
179,6,0
180,5,0
181,7,0
182,5,0
183,6,0
184,7,0
185,4,0
186,6,0
187,2,0
188,4,0
189,3,0
190,5,0
191,6,0
192,4,0
193,4,0
194,5,0
195,3,0
196,6,0
197,3,0
198,5,0
199,8,0
200,4,0
201,5,0
202,3,0
203,7,0
204,9,0
205,10,0
206,5,0
207,3,0
208,7,0
209,7,0
210,8,0
211,3,0
212,2,0
213,4,0
214,5,0
215,5,0
216,6,0
217,5,0
218,3,0
219,4,0
220,3,0
221,3,0
222,5,0
223,1,0
224,4,0
225,5,0
226,5,0
227,10,0
228,2,0
229,5,0
230,4,0
231,4,0
232,6,0
233,6,0
234,4,0
235,5,0
236,5,0
237,7,0
238,5,0
239,4,0
240,10,0
241,5,0
242,5,0
243,5,0
244,5,0
245,4,0
246,6,0
247,7,0
248,4,0
249,3,0
250,0,0
251,5,0
252,11,0
253,3,0
254,2,0
255,5,0
256,4,0
257,13,0
258,2,0
259,9,0
260,7,0
261,6,0
262,5,0
263,8,0
264,6,0
265,5,0
266,8,0
267,3,0
268,13,0
269,4,0
270,7,0
271,10,0
272,6,0
273,5,0
274,6,0
275,5,0
276,7,0
277,9,0
278,4,0
279,8,0
280,5,0
281,11,0
282,7,0
283,9,0
284,12,0
285,5,0
286,5,0
287,6,0
288,5,0
289,7,0
290,3,0
291,6,0
292,9,0
293,9,0
294,9,0
295,8,0
296,10,0
297,5,0
298,6,0
299,11,0
300,4,0
301,6,0
302,5,0
303,5,0
304,3,0
305,3,0
306,5,0
307,3,0
308,5,0
309,6,0
310,1,0
311,6,0
312,8,0
313,3,0
314,5,0
315,6,0
316,5,0
317,4,0
318,2,0
319,6,0
320,6,0
321,9,0
322,9,0
323,6,0
324,7,0
