id,good,bad
0,8,0
1,9,0
2,8,0
3,4,0
4,6,0
5,8,0
6,5,0
7,4,0
8,5,0
9,7,0
10,9,0
11,10,0
12,6,0
13,5,0
14,4,0
15,7,0
16,8,0
17,6,0
18,6,0
19,4,0
20,4,0
21,7,0
22,6,0
23,7,0
24,5,0
25,5,0
26,4,0
27,9,0
28,3,0
29,7,0
30,5,0
31,3,0
32,4,0
33,6,0
34,8,0
35,7,0
36,9,0
37,4,0
38,6,0
39,8,0
40,3,0
41,5,0
42,4,0
43,9,0
44,8,0
45,4,0
46,6,0
47,6,0
48,6,0
49,8,0
50,5,0
51,4,0
52,1,0
53,5,0
54,4,0
55,8,0
56,7,0
57,4,0
58,4,0
59,5,0
60,6,0
61,7,0
62,4,0
63,4,0
64,9,0
65,6,0
66,12,0
67,5,0
68,4,0
69,5,0
70,7,0
71,6,0
72,9,0
73,14,0
74,10,0
75,6,0
76,9,0
77,7,0
78,5,0
79,7,0
80,6,0
81,7,0
82,9,0
83,4,0
84,4,0
85,6,0
86,3,0
87,7,0
88,9,0
89,5,0
90,7,0
91,7,0
92,13,0
93,6,0
94,7,0
95,7,0
96,11,0
97,4,0
98,5,0
99,10,0
100,5,0
101,6,0
102,11,0
103,5,0
104,8,0
105,4,0
106,8,0
107,5,0
108,9,0
109,9,0
110,3,0
111,6,0
112,5,0
113,4,0
114,7,0
115,9,0
116,3,0
117,8,0
118,6,0
119,4,0
120,6,0
121,5,0
122,6,0
123,7,0
124,7,0
125,6,0
126,6,0
127,10,0
128,5,0
129,3,0
130,7,0
131,7,0
132,11,0
133,5,0
134,4,0
135,7,0
136,3,0
137,7,0
138,8,0
139,6,0
140,5,0
141,9,0
142,5,0
143,5,0
144,2,0
145,6,0
146,6,0
147,5,0
148,4,0
149,6,0
150,7,0
151,8,0
152,5,0
153,6,0
154,9,0
155,6,0
156,7,0
157,8,0
158,7,0
159,8,0
160,10,0
161,6,0
162,2,0
163,4,0
164,10,0
165,3,0
166,5,0
167,5,0
168,3,0
169,6,0
170,5,0
171,4,0
172,8,0
173,5,0
174,2,0
175,7,0
176,5,0
177,5,0
178,6,0
179,5,0
180,7,0
181,5,0
182,5,0
183,5,0
184,6,0
185,10,0
186,4,0
187,10,0
188,6,0
189,3,0
190,10,0
191,8,0
192,7,0
193,5,0
194,5,0
195,5,0
196,7,0
197,5,0
198,8,0
199,11,0
200,7,0
201,8,0
202,10,0
203,12,0
204,3,0
205,13,0
206,7,0
207,6,0
208,8,0
209,7,0
210,9,0
211,6,0
212,9,0
213,7,0
214,9,0
215,9,0
216,5,0
217,6,0
218,8,0
219,6,0
220,2,0
221,7,0
222,5,0
223,9,0
224,4,0
225,6,0
226,8,0
227,10,0
228,8,0
229,6,0
230,9,0
231,2,0
232,6,0
233,7,0
234,8,0
235,7,0
236,13,0
237,6,0
238,7,0
239,7,0
240,0,0
241,9,0
242,4,0
243,5,0
244,4,0
245,6,0
246,9,0
247,7,0
248,6,0
249,5,0
250,11,0
251,9,0
252,8,0
253,6,0
254,7,0
255,2,0
256,7,0
257,9,0
258,9,0
259,9,0
260,12,0
261,8,0
262,7,0
263,8,0
264,8,0
265,7,0
266,8,0
267,9,0
268,5,0
269,4,0
270,6,0
271,9,0
272,8,0
273,2,0
274,10,0
275,8,0
276,5,0
277,8,0
278,2,0
279,4,0
280,8,0
281,8,0
282,4,0
283,6,0
284,6,0
285,5,0
286,6,0
287,7,0
288,7,0
289,5,0
290,4,0
291,5,0
292,7,0
293,7,0
294,4,0
295,6,0
296,8,0
297,10,0
298,9,0
299,12,0
300,7,0
301,4,0
302,7,0
303,6,0
304,7,0
305,6,0
306,8,0
307,8,0
308,6,0
309,4,0
310,5,0
311,3,0
312,7,0
313,2,0
314,7,0
315,10,0
316,4,0
317,6,0
318,8,0
319,5,0
320,11,0
321,7,0
322,5,0
323,7,0
324,5,0
325,2,0
326,4,0
327,12,0
328,5,0
329,4,0
330,10,0
331,4,0
332,8,0
333,9,0
334,4,0
335,6,0
336,5,0
337,7,0
338,4,0
339,3,0
340,9,0
341,7,0
342,8,0
343,6,0
344,6,0
345,5,0
346,7,0
347,9,0
348,9,0
349,7,0
350,10,0
351,6,0
352,5,0
353,6,0
354,4,0
355,3,0
356,7,0
357,8,0
358,7,0
359,6,0
360,7,0
361,6,0
362,11,0
363,4,0
364,7,0
365,5,0
366,7,0
367,5,0
368,8,0
369,12,0
370,1,0
371,5,0
372,7,0
373,12,0
374,6,0
375,10,0
376,5,0
377,9,0
378,6,0
379,5,0
380,6,0
381,5,0
382,9,0
383,4,0
384,7,0
385,9,0
386,5,0
387,4,0
388,16,0
389,2,0
390,13,0
391,7,0
392,8,0
393,5,0
394,8,0
395,6,0
396,8,0
397,6,0
398,6,0
399,10,0
400,9,0
401,8,0
402,9,0
403,7,0
404,6,0
405,11,0
406,9,0
407,11,0
408,6,0
409,11,0
410,7,0
411,11,0
412,8,0
413,9,0
414,9,0
415,1,0
416,10,0
417,4,0
418,11,0
419,6,0
420,10,0
421,7,0
422,13,0
423,6,0
424,8,0
425,9,0
426,10,0
427,6,0
428,9,0
429,9,0
430,14,0
431,4,0
432,12,0
433,10,0
434,3,0
435,7,0
436,6,0
437,12,0
438,7,0
439,8,0
440,7,0
441,5,0
442,9,0
443,7,0
444,5,0
445,15,0
446,7,0
447,10,0
448,9,0
449,7,0
450,12,0
451,9,0
452,8,0
453,11,0
454,6,0
455,9,0
456,7,0
457,7,0
458,8,0
459,9,0
460,9,0
461,12,0
462,13,0
463,3,0
464,7,0
465,12,0
466,7,0
467,6,0
468,5,0
469,7,0
470,7,0
471,12,0
472,10,0
473,11,0
474,9,0
475,11,0
476,7,0
477,6,0
478,4,0
479,7,0
480,9,0
481,12,0
482,4,0
483,8,0
484,8,0
485,7,0
486,8,0
487,10,0
488,7,0
489,8,0
490,4,0
491,13,0
492,15,0
493,8,0
494,12,0
495,8,0
496,4,0
497,7,0
498,7,0
499,7,0
500,11,0
501,10,0
502,7,0
503,9,0
504,5,0
505,5,0
506,9,0
507,10,0
508,7,0
509,12,0
510,7,0
511,11,0
512,13,0
513,4,0
514,11,0
515,7,0
516,8,0
517,7,0
518,7,0
519,5,0
520,5,0
521,10,0
522,6,0
523,6,0
524,11,0
525,11,0
526,7,0
527,9,0
528,6,0
529,6,0
530,1,0
531,8,0
532,9,0
533,9,0
534,13,0
535,11,0
536,6,0
537,7,0
538,7,0
539,10,0
540,9,0
541,10,0
542,7,0
543,9,0
544,12,0
545,11,0
546,9,0
547,5,0
548,9,0
549,6,0
550,7,0
551,9,0
552,7,0
553,8,0
554,7,0
555,10,0
556,9,0
557,9,0
558,4,0
559,10,0
560,9,0
561,12,0
562,9,0
563,6,0
564,10,0
565,7,0
566,7,0
567,14,0
568,10,0
569,5,0
570,8,0
571,11,0
572,8,0
573,11,0
574,8,0
575,8,0
576,6,0
577,7,0
578,10,0
579,8,0
580,8,0
581,10,0
582,11,0
583,5,0
584,7,0
585,10,0
586,6,0
587,15,0
588,3,0
589,10,0
590,3,0
591,6,0
592,8,0
593,8,0
594,6,0
595,7,0
596,15,0
597,10,0
598,10,0
599,8,0
600,10,0
601,7,0
602,3,0
603,7,0
604,8,0
605,6,0
606,4,0
607,8,0
608,4,0
609,5,0
610,5,0
611,11,0
612,10,0
613,8,0
614,11,0
615,9,0
616,5,0
617,8,0
618,7,0
619,7,0
620,6,0
621,9,0
622,4,0
623,11,0
624,4,0
625,7,0
626,4,0
627,9,0
628,11,0
629,7,0
630,12,0
631,7,0
632,11,0
633,8,0
634,9,0
635,6,0
636,9,0
637,7,0
638,8,0
639,5,0
640,8,0
641,12,0
642,5,0
643,4,0
644,4,0
645,7,0
646,7,0
647,7,0
648,7,0
649,8,0
650,12,0
651,8,0
652,6,0
653,5,0
654,11,0
655,3,0
656,8,0
657,3,0
658,2,0
659,8,0
660,6,0
661,10,0
662,10,0
663,10,0
664,7,0
665,8,0
666,6,0
667,5,0
668,8,0
669,10,0
670,6,0
671,8,0
672,6,0
673,5,0
674,7,0
675,9,0
676,7,0
677,8,0
678,5,0
679,5,0
680,8,0
681,10,0
682,6,0
683,9,0
684,6,0
685,5,0
686,7,0
687,5,0
688,8,0
689,7,0
690,6,0
691,6,0
692,10,0
693,9,0
694,7,0
695,13,0
696,6,0
697,5,0
698,8,0
699,4,0
