id,good,bad
0,9,0
1,11,1
2,10,0
3,9,0
4,8,0
5,7,0
6,9,0
7,6,0
8,6,0
9,11,0
10,10,0
11,11,1
12,10,0
13,7,0
14,6,0
15,8,0
16,8,0
17,7,0
18,9,0
19,7,0
20,6,0
21,9,0
22,12,0
23,7,0
24,10,0
25,9,0
26,10,0
27,12,0
28,6,0
29,8,0
30,8,0
31,5,0
32,8,0
33,8,0
34,10,0
35,10,1
36,8,0
37,7,0
38,9,0
39,9,0
40,6,0
41,7,0
42,7,0
43,10,0
44,11,0
45,7,0
46,7,0
47,8,0
48,11,0
49,9,0
50,8,0
51,6,0
52,6,0
53,7,0
54,7,0
55,10,0
56,9,0
57,5,0
58,7,0
59,9,0
60,7,0
61,10,0
62,7,0
63,9,0
64,13,0
65,9,0
66,13,0
67,9,0
68,5,0
69,8,0
70,9,0
71,11,0
72,11,0
73,16,1
74,9,0
75,10,0
76,12,0
77,10,0
78,9,0
79,8,0
80,10,0
81,10,0
82,12,0
83,6,0
84,6,0
85,10,0
86,6,0
87,9,0
88,14,1
89,9,0
90,8,0
91,10,0
92,15,0
93,7,0
94,9,0
95,8,0
96,11,0
97,9,0
98,8,0
99,13,1
100,8,0
101,9,0
102,11,0
103,7,0
104,12,0
105,8,0
106,11,1
107,12,0
108,12,0
109,10,1
110,9,0
111,7,0
112,9,0
113,6,0
114,13,1
115,11,0
116,9,1
117,9,0
118,11,1
119,6,0
120,9,0
121,12,0
122,11,0
123,8,0
124,9,0
125,9,0
126,7,0
127,14,1
128,7,0
129,6,0
130,10,0
131,10,0
132,12,0
133,8,0
134,9,0
135,10,0
136,6,0
137,9,0
138,10,0
139,9,0
140,11,0
141,9,0
142,6,0
143,7,0
144,8,0
145,7,0
146,8,0
147,8,0
148,7,0
149,8,0
150,10,0
151,10,0
152,9,0
153,9,0
154,10,0
155,8,0
156,9,0
157,10,0
158,8,0
159,10,0
160,9,0
161,10,0
162,4,0
163,8,0
164,13,0
165,5,0
166,7,0
167,10,1
168,7,0
169,9,0
170,8,0
